# Source: Statistische Aemter des Bundes und der Laender - Regionaldatenbank Deutschland (GENESIS)
# Table: 45412-02-02-4-B Beherbergungsbetriebe, Schlafgelegenheiten, Gaesteankuenfte, Gaesteuebernachtungen nach Betriebsarten - regionale Ebenen (ab 2018)
# Regional level: Bundeslaender (16) | Year: 2024 | Retrieved: 2026-06-22 | Licence: Datenlizenz Deutschland - Namensnennung 2.0
# '.' in source = confidential (Bremen/Berlin: Vorsorge-/Reha shown within Erholungs-/Ferienheime). Empty cell here = confidential.
Land_Code;Bundesland;Betriebsart;Beherbergungsbetriebe_2024;Schlafgelegenheiten_2024;Gaesteankuenfte_2024;Gaesteuebernachtungen_2024
01;Schleswig-Holstein;Hotels, Hotels garnis, Gasthöfe, Pensionen;1038;66378;4654143;11077021
01;Schleswig-Holstein;Erholungs-/Ferienheime, Ferienhäuser/-wohnungen, Jugendherbergen u.ä.;2150;168838;3109606;18107280
01;Schleswig-Holstein;Vorsorge- und Rehabilitationseinrichtungen;53;11167;165164;3533047
01;Schleswig-Holstein;Insgesamt;3241;246383;7928913;32717348
02;Hamburg;Hotels, Hotels garnis, Gasthöfe, Pensionen;348;69496;6936504;14479259
02;Hamburg;Erholungs-/Ferienheime, Ferienhäuser/-wohnungen, Jugendherbergen u.ä.;52;6928;536943;1425008
02;Hamburg;Vorsorge- und Rehabilitationseinrichtungen;3;202;3140;51542
02;Hamburg;Insgesamt;403;76626;7476587;15955809
03;Niedersachsen;Hotels, Hotels garnis, Gasthöfe, Pensionen;2687;148230;9956336;20274621
03;Niedersachsen;Erholungs-/Ferienheime, Ferienhäuser/-wohnungen, Jugendherbergen u.ä.;2627;257155;5209812;20604341
03;Niedersachsen;Vorsorge- und Rehabilitationseinrichtungen;98;16431;242320;5248776
03;Niedersachsen;Insgesamt;5412;421816;15408468;46127738
04;Bremen;Hotels, Hotels garnis, Gasthöfe, Pensionen;112;16101;1426256;2604422
04;Bremen;Erholungs-/Ferienheime, Ferienhäuser/-wohnungen, Jugendherbergen u.ä.;14;2105;107414;313864
