asset_type,deal,source,source_url,listing_id,name,district,plz,city,state,rent_eur_m2_min,rent_eur_m2_max,price_eur,area_min_m2,area_max_m2,rooms,captured,notes
apartment_building,sale,Aengevelt,https://www.aengevelt.com/immobilie/share-deal-opportunity-wohnanlage-mit-6-mfh-entwicklungspotenzial-bauvorbescheid-fuer-dhh-vorhanden-8273996/,AEN-8273996,"Share Deal Opportunity: Wohnanlage mit 6 MFH + Entwicklungspotenzial, Bauvorbescheid für DHH vorhanden",,06242,Braunsbedra,Sachsen-Anhalt,4.53,4.53,780000,1562,1562,,2026-07-02,"geo:51.28672,11.89913;MODEL:prime"
industrial_hall,lease,Aengevelt,https://www.aengevelt.com/immobilie/rampenlager-mit-hervorragender-verkehrsanbindung-teilflaeche-ab-09-2023-verfuegbar-35000/,AEN-35000,"Rampenlager mit hervorragender Verkehrsanbindung, Teilfläche ab 09/2023 verfügbar",,04347,Leipzig,Sachsen,4.5,4.5,,11204,11204,,2026-07-02,"geo:51.35765,12.43723;MODEL:context"
office,lease,Aengevelt,https://www.aengevelt.com/immobilie/bueroetage-in-duesseldorfer-trendlage-buerobruecke-fuer-kreative-miete-oder-kauf-20788/,AEN-20788,"Büroetage in Düsseldorfer Trendlage ""Bürobrücke für Kreative"" - Miete oder Kauf",Pempelfort,40477,Düsseldorf,Nordrhein-Westfalen,,,,1000,1000,,2026-07-02,"geo:51.23836,6.79202;MODEL:prime"
mixed_use,sale,Aengevelt,https://www.aengevelt.com/immobilie/thomascarree-wohn-und-geschaeftshaus-ensemble-in-1a-lage-von-velbert-8275066/,AEN-8275066,THOMASCARREÉ: WOHN- UND GESCHÄFTSHAUS-ENSEMBLE IN 1A LAGE VON VELBERT,,42551,Velbert,Nordrhein-Westfalen,,,8700000,6563,6563,,2026-07-02,"geo:51.33134,7.05458;MODEL:prime"
office,lease,Aengevelt,https://www.aengevelt.com/immobilie/hotelnutzung-im-schwarzbach-quartier-31217/,AEN-31217,Hotelnutzung im Schwarzbach-Quartier,Ratingen-Ost,40878,Ratingen,Nordrhein-Westfalen,,,,4608,4608,,2026-07-02,"geo:51.28717,6.85776;POR;MODEL:prime"
industrial_hall,sale,Aengevelt,https://www.aengevelt.com/immobilie/lager-und-logistikobjekt-an-der-a14-201232/,AEN-201232,Lager- und Logistikobjekt an der A14,,06188,Landsberg,Sachsen-Anhalt,,,1100000,3240,3240,,2026-07-02,"geo:51.47158,12.09136;MODEL:context"
office,lease,Aengevelt,https://www.aengevelt.com/immobilie/ihr-neues-hauptstadtbuero-im-modernisierten-pressehaus-am-alexanderplatz-37269/,AEN-37269,Ihr neues Hauptstadtbüro im modernisierten Pressehaus am Alexanderplatz,Mitte,10178,Berlin,Berlin,,,,16418,16418,,2026-07-02,"geo:52.52275,13.40999;MODEL:prime"
industrial_hall,lease,Aengevelt,https://www.aengevelt.com/immobilie/kompakte-lager-produktionsflaeche-ca-200-m2-in-gewerbepark-magdeburg-202652/,AEN-202652,Kompakte Lager- / Produktionsfläche ca. 200 m² in Gewerbepark (Magdeburg),Buckau,39104,Magdeburg,Sachsen-Anhalt,6,6,,1032,1032,,2026-07-02,"geo:52.11412,11.63121;MODEL:context"
industrial_hall,lease,Aengevelt,https://www.aengevelt.com/immobilie/grosse-produktions-lagerhalle-ca-2-300-m2-im-suedlichen-magdeburg-203206/,AEN-203206,Große Produktions- / Lagerhalle ca. 2.300 m² im südlichen Magdeburg,Buckau,39104,Magdeburg,Sachsen-Anhalt,6,6,,2300,2300,,2026-07-02,"geo:52.11462,11.63108;MODEL:context"
industrial_hall,lease,Aengevelt,https://www.aengevelt.com/immobilie/lager-produktionshalle-ca-520-m2-in-citynahem-gewerbepark-in-magdeburg-98829/,AEN-98829,Lager- / Produktionshalle ca. 520 m² in citynahem Gewerbepark in Magdeburg,Buckau,39104,Magdeburg,Sachsen-Anhalt,6,6,,1032,1032,,2026-07-02,"geo:52.11412,11.63021;MODEL:context"
