asset_type,deal,source,source_url,listing_id,name,district,plz,city,state,rent_eur_m2_min,rent_eur_m2_max,price_eur,area_min_m2,area_max_m2,rooms,captured,notes
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-22445/munchen-80636,cbre-DE-argoweb-22445,"Büro – München",,80636,"München",,29,29,,339,5718,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-10825/munchen-80807,cbre-DE-argoweb-10825,"Büro – München",,80807,"München",,20.5,20.5,,284,2606,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-64090/koln-50674,cbre-DE-argoweb-64090,"Büro – Köln",,50674,"Köln",,16,16,,92,315,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-41342/munchen-80331,cbre-DE-argoweb-41342,"Büro – München",,80331,"München",,60,60,,194,394,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-11169/munchen-80993,cbre-DE-argoweb-11169,"Büro – München",,80993,"München",,26,26,,124,27797,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-4081/hamburg-20097,cbre-DE-argoweb-4081,"Büro – Hamburg",,20097,"Hamburg",,16.5,16.5,,150,1953,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-30682/munchen-80335,cbre-DE-argoweb-30682,"Büro – München",,80335,"München",,25,25,,250,5383,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-130230/koln-50935,cbre-DE-argoweb-130230,"Büro – Köln",,50935,"Köln",,19.5,19.5,,353,353,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-75594/koln-50674,cbre-DE-argoweb-75594,"Büro – Köln",,50674,"Köln",,,,,,,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-64882/munchen-81677,cbre-DE-argoweb-64882,"Büro – München",,81677,"München",,15,15,,721,721,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-8793/hamburg-22083,cbre-DE-argoweb-8793,"Büro – Hamburg",,22083,"Hamburg",,18.5,18.5,,594,1833,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-9785/munchen-80799,cbre-DE-argoweb-9785,"Büro – München",,80799,"München",,53,53,,5145,5145,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-12885/unterfohring-85774,cbre-DE-argoweb-12885,"Büro – Unterföhring",,85774,"Unterföhring",,14.5,14.5,,284,5952,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-10129/hamburg-20095,cbre-DE-argoweb-10129,"Büro – Hamburg",,20095,"Hamburg",,22,22,,285,7743,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-16559/frankfurt-am-main-60329,cbre-DE-argoweb-16559,"Büro – Frankfurt am Main",,60329,"Frankfurt am Main",,22,22,,150,150,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-48533/koln-50670,cbre-DE-argoweb-48533,"Büro – Köln",,50670,"Köln",,20,20,,386,6805,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-30095/hamburg-20457,cbre-DE-argoweb-30095,"Büro – Hamburg",,20457,"Hamburg",,21,21,,208,4435,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-16386/frankfurt-am-main-60313,cbre-DE-argoweb-16386,"Büro – Frankfurt am Main",,60313,"Frankfurt am Main",,30,30,,434,1281,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-6503/garching-b-munchen-85748,cbre-DE-argoweb-6503,"Büro – Garching b. München",,85748,"Garching b. München",,15.25,15.25,,495,7679,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-4349/frankfurt-am-main-60528,cbre-DE-argoweb-4349,"Büro – Frankfurt am Main",,60528,"Frankfurt am Main",,6,6,,479,3858,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-14253/berlin-10789,cbre-DE-argoweb-14253,"Büro – Berlin",,10789,"Berlin",,22,22,,300,5740,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-16521/frankfurt-am-main-60528,cbre-DE-argoweb-16521,"Büro – Frankfurt am Main",,60528,"Frankfurt am Main",,17,17,,353,16395,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-28301/frankfurt-am-main-60329,cbre-DE-argoweb-28301,"Büro – Frankfurt am Main",,60329,"Frankfurt am Main",,19,19,,91,91,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-29033/eschborn-65760,cbre-DE-argoweb-29033,"Büro – Eschborn",,65760,"Eschborn",,12.9,12.9,,414,828,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-30979/koln-50676,cbre-DE-argoweb-30979,"Büro – Köln",,50676,"Köln",,22.5,22.5,,154,2392,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-63330/koln-50858,cbre-DE-argoweb-63330,"Büro – Köln",,50858,"Köln",,12.5,12.5,,220,873,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-15499/hamburg-22297,cbre-DE-argoweb-15499,"Büro – Hamburg",,22297,"Hamburg",,14.5,14.5,,255,3426,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-17324/frankfurt-am-main-60489,cbre-DE-argoweb-17324,"Büro – Frankfurt am Main",,60489,"Frankfurt am Main",,,,,,,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-63889/berlin-10243,cbre-DE-argoweb-63889,"Büro – Berlin",,10243,"Berlin",,23.5,23.5,,334,5291,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-63646/berlin-13355,cbre-DE-argoweb-63646,"Büro – Berlin",,13355,"Berlin",,16,16,,217,1652,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-64129/berlin-12059,cbre-DE-argoweb-64129,"Büro – Berlin",,12059,"Berlin",,12,12,,258,606,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-16280/hamburg-22765,cbre-DE-argoweb-16280,"Büro – Hamburg",,22765,"Hamburg",,18.5,18.5,,224,2385,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-8215/berlin-10178,cbre-DE-argoweb-8215,"Büro – Berlin",,10178,"Berlin",,32,32,,160,5535,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-17788/hamburg-20457,cbre-DE-argoweb-17788,"Büro – Hamburg",,20457,"Hamburg",,23.5,23.5,,208,901,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-11880/unterschleiheim-85716,cbre-DE-argoweb-11880,"Büro – Unterschleißheim",,85716,"Unterschleißheim",,15.5,15.5,,214,12496,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-9613/hamburg-22763,cbre-DE-argoweb-9613,"Büro – Hamburg",,22763,"Hamburg",,19.8,19.8,,285,1395,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-15148/stuttgart-70653,cbre-DE-argoweb-15148,"Büro – Stuttgart",,70653,"Stuttgart",,14.5,14.5,,500,6649,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-30111/munchen-80339,cbre-DE-argoweb-30111,"Büro – München",,80339,"München",,29,29,,257,5291,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-17956/munchen-80335,cbre-DE-argoweb-17956,"Büro – München",,80335,"München",,21.8,21.8,,295,295,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-7001/berlin-10785,cbre-DE-argoweb-7001,"Büro – Berlin",,10785,"Berlin",,33,33,,319,4688,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-6100/berlin-10785,cbre-DE-argoweb-6100,"Büro – Berlin",,10785,"Berlin",,25,25,,800,2400,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-7683/berlin-10785,cbre-DE-argoweb-7683,"Büro – Berlin",,10785,"Berlin",,25,25,,340,23059,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-17107/berlin-10245,cbre-DE-argoweb-17107,"Büro – Berlin",,10245,"Berlin",,19,19,,708,3434,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-12866/munchen-80807,cbre-DE-argoweb-12866,"Büro – München",,80807,"München",,20.5,20.5,,259,3489,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-33043/munchen-80807,cbre-DE-argoweb-33043,"Büro – München",,80807,"München",,20.5,20.5,,299,719,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-15945/hamburg-20459,cbre-DE-argoweb-15945,"Büro – Hamburg",,20459,"Hamburg",,19.25,19.25,,250,1407,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-9368/berlin-14199,cbre-DE-argoweb-9368,"Büro – Berlin",,14199,"Berlin",,15.9,15.9,,257,5015,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-9019/hamburg-20095,cbre-DE-argoweb-9019,"Büro – Hamburg",,20095,"Hamburg",,24,24,,549,549,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-2961/hamburg-20097,cbre-DE-argoweb-2961,"Büro – Hamburg",,20097,"Hamburg",,9.5,9.5,,402,6207,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
office,lease,CBRE,https://www.cbre.de/immobiliensuche/buero/details/DE-argoweb-16463/frankfurt-am-main-60314,cbre-DE-argoweb-16463,"Büro – Frankfurt am Main",,60314,"Frankfurt am Main",,19,19,,84,4650,,2026-06-29,"CBRE Immobiliensuche; zur Miete"
