asset_type,deal,source,source_url,listing_id,name,district,plz,city,state,rent_eur_m2_min,rent_eur_m2_max,price_eur,area_min_m2,area_max_m2,rooms,captured,notes
hotel,sale,Christie & Co,https://www.christie.com/9142042,christie-9142042,"4-Sterne Hotel, Seligenstadt",,,Seligenstadt,Hessen,,,,,,117,2026-06-28,"4-star; price on request (Angebote erbeten); Under Offer; ideal A3 access"
hotel,sale,Christie & Co,https://www.christie.com/9042082,christie-9042082,"4-Sterne Hotel, Much",,,Much,Nordrhein-Westfalen,,,,,,107,2026-06-28,"4-star; price on request; near Koeln/Bonn; 18 conference rooms"
hotel,sale,Christie & Co,https://www.christie.com/9142043,christie-9142043,"4-Sterne Hotel, Hann. Muenden",,,Hann. Muenden,Niedersachsen,,,,,,93,2026-06-28,"4-star; price on request"
hotel,lease,Christie & Co,https://www.christie.com/9441900,christie-9441900,"Midscale Hotel, Singen (Bodensee)",,,Singen,Baden-Wuerttemberg,,,,,,80,2026-06-28,"Midscale; Pacht (lease); price on request; Bodenseeregion"
hotel,sale,Christie & Co,https://www.christie.com/9142048,christie-9142048,"Hotel, Sachsen",,,Sachsen,Sachsen,,,,,,150,2026-06-28,"price on request; region-level listing"
hotel,sale,Christie & Co,https://www.christie.com/9142050,christie-9142050,"Hotel, Annaberg-Buchholz",,,Annaberg-Buchholz,Sachsen,,,,,,71,2026-06-28,"price on request"
hotel,sale,Christie & Co,https://www.christie.com/9142051,christie-9142051,"Hotel, Scheibenberg",,,Scheibenberg,Sachsen,,,,,,24,2026-06-28,"price on request"
hotel,lease,Christie & Co,https://www.christie.com/9042083,christie-9042083,"Upscale Hotel, Schwelm",,,Schwelm,Nordrhein-Westfalen,,,,,,61,2026-06-28,"Upscale; Pacht (lease); price on request; Rheinland; 61 modern rooms"
hotel,sale,Christie & Co,https://www.christie.com/9042078,christie-9042078,"4-Sterne Hotel, Suedhessen (Rhein-Main)",,,Rhein-Main-Region,Hessen,,,,,,70,2026-06-28,"4-star; price on request; Suedhessen"
hotel,sale,Christie & Co,https://www.christie.com/9042076,christie-9042076,"4-Sterne Hotel, Rheingau",,,Rheingau,Hessen,,,,,,30,2026-06-28,"4-star; price on request; 30 rooms & suites"
hotel,sale,Christie & Co,https://www.christie.com/9042080,christie-9042080,"Hotel, Eifel",,,Eifel,,,,,,,85,2026-06-28,"price on request; Innenstadtlage; Eifel region; revitalisation play"
hotel,sale,Christie & Co,https://www.christie.com/9142040,christie-9142040,"Romantikhotel Boesehof, Bad Bederkesa",,,Bad Bederkesa,Niedersachsen,,,,,,52,2026-06-28,"Midscale; price on request; Under Offer; restaurant/wellness/Tagung"
hotel,sale,Christie & Co,https://www.christie.com/9042074,christie-9042074,"Hotel, Ruedesheim am Rhein",,,Ruedesheim am Rhein,Hessen,,,,,,113,2026-06-28,"price on request; Under Offer; Rheinpromenade; repositioning play"
hotel,lease,Christie & Co,https://www.christie.com/9142028,christie-9142028,"Hotel (Pacht), Hirschaid bei Bamberg",,,Hirschaid,Bayern,,,,,,100,2026-06-28,"Pacht (lease); price on request; expansion to ~100 rooms"
hotel,sale,Christie & Co,https://www.christie.com/9441856,christie-9441856,"4-star Hotel, Freiburg",,,Freiburg,Baden-Wuerttemberg,,,,,,100,2026-06-28,"4-star; price on request; Under Offer; historic hotel, high profitability"
