asset_type,deal,source,source_url,listing_id,name,district,plz,city,state,rent_eur_m2_min,rent_eur_m2_max,price_eur,area_min_m2,area_max_m2,rooms,captured,notes
office,lease,Colliers,https://www.colliers.de/gewerbeimmobilien/objekt/buero-muenchen-ext-001568/,col-buero-muenchen-ext-001568,"Haidhausen Campus of Ideas, Munich",,,"München","Bayern",,,,,,,2026-06-29,"Colliers Objektsuche; office"
office,lease,Colliers,https://www.colliers.de/gewerbeimmobilien/objekt/buero-muenchen-ext-001876/,col-buero-muenchen-ext-001876,"New Balan - creative, workshop and office spaces, Munich",,,"München","Bayern",,,,,,,2026-06-29,"Colliers Objektsuche; office"
office,lease,Colliers,https://www.colliers.de/gewerbeimmobilien/objekt/buero-muenchen-ext-003590/,col-buero-muenchen-ext-003590,"Arnulfpark - Timeless architecture with a great view, Munich",,,"München","Bayern",,,,,,,2026-06-29,"Colliers Objektsuche; office"
office,lease,Colliers,https://www.colliers.de/gewerbeimmobilien/objekt/buero-estatesync-ext-001358/,col-buero-estatesync-ext-001358,"Your new office near the airport, Hallbergmoos",,,"Hallbergmoos","Bayern",,,,,,,2026-06-29,"Colliers Objektsuche; office"
office,lease,Colliers,https://www.colliers.de/gewerbeimmobilien/objekt/buero-estatesync-ext-001399/,col-buero-estatesync-ext-001399,"Home for high achievers, Hallbergmoos",,,"Hallbergmoos","Bayern",,,,,,,2026-06-29,"Colliers Objektsuche; office"
office,lease,Colliers,https://www.colliers.de/gewerbeimmobilien/objekt/buero-estatesync-ext-001398/,col-buero-estatesync-ext-001398,"Albatros: Success office for high achievers, Hallbergmoos",,,"Hallbergmoos","Bayern",,,,,,,2026-06-29,"Colliers Objektsuche; office"
office,lease,Colliers,https://www.colliers.de/gewerbeimmobilien/objekt/buero-muenchen-ext-000995/,col-buero-muenchen-ext-000995,"Representative office spaces with flexible room layouts, Munich",,,"München","Bayern",,,,,,,2026-06-29,"Colliers Objektsuche; office"
office,lease,Colliers,https://www.colliers.de/gewerbeimmobilien/objekt/buero-muenchen-ext-001684/,col-buero-muenchen-ext-001684,"Trudering - Functional office and commercial building, Munich",,,"München","Bayern",,,,,,,2026-06-29,"Colliers Objektsuche; office"
office,lease,Colliers,https://www.colliers.de/gewerbeimmobilien/objekt/buero-muenchen-ext-003270/,col-buero-muenchen-ext-003270,"Offices at Heimeranplatz, Munich",,,"München","Bayern",,,,,,,2026-06-29,"Colliers Objektsuche; office"
office,lease,Colliers,https://www.colliers.de/gewerbeimmobilien/objekt/buero-muenchen-ext-003576/,col-buero-muenchen-ext-003576,"Flexible office space at Heimeranplatz, Munich",,,"München","Bayern",,,,,,,2026-06-29,"Colliers Objektsuche; office"
office,lease,Colliers,https://www.colliers.de/gewerbeimmobilien/objekt/buero-muenchen-ext-001213/,col-buero-muenchen-ext-001213,"Offices at Heimeranplatz, Munich",,,"München","Bayern",,,,,,,2026-06-29,"Colliers Objektsuche; office"
office,lease,Colliers,https://www.colliers.de/gewerbeimmobilien/objekt/buero-estatesync-ext-001736/,col-buero-estatesync-ext-001736,"Hub Eight - office and laboratory spaces, Hallbergmoos",,,"Hallbergmoos","Bayern",,,,,,,2026-06-29,"Colliers Objektsuche; office"
office,lease,Colliers,https://www.colliers.de/gewerbeimmobilien/objekt/buero-estatesync-ext-003575/,col-buero-estatesync-ext-003575,"Timeless 1930s listed building, Munich area",,,"München","Bayern",,,,,,,2026-06-29,"Colliers Objektsuche; office"
office,lease,Colliers,https://www.colliers.de/gewerbeimmobilien/objekt/buero-muenchen-ext-003525/,col-buero-muenchen-ext-003525,"Office space with views of the Alps, Munich",,,"München","Bayern",,,,,,,2026-06-29,"Colliers Objektsuche; office"
office,lease,Colliers,https://www.colliers.de/gewerbeimmobilien/objekt/buero-muenchen-ext-002033/,col-buero-muenchen-ext-002033,"Doctor's office in a historic old building, Munich",,,"München","Bayern",,,,,,,2026-06-29,"Colliers Objektsuche; office"
