asset_type,deal,source,source_url,listing_id,name,district,plz,city,state,rent_eur_m2_min,rent_eur_m2_max,price_eur,area_min_m2,area_max_m2,rooms,captured,notes
apartment_building,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/f64ec28c-c3f6-5fd3-909b-5fb78663a49b,ev-f64ec28c-c3f6-5fd3-909b-5fb78663a49b,"Ertragsstarkes Mehrfamilienhaus mit bebaubarem Grundstück",,,"Göttingen","Niedersachsen",,,450000,,233,,2026-06-28,"E&V Kapitalanlage/investment listing"
mixed_use,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/f0724c6a-8345-55de-bcf0-01ae759c060a,ev-f0724c6a-8345-55de-bcf0-01ae759c060a,"Aufgeteiltes Wohn- und Geschäftshaus in beliebter Mitte Lage",,,"Berlin","Berlin",,,13000000,,1623,,2026-06-28,"E&V Kapitalanlage/investment listing"
apartment_building,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/a253e9c5-0448-531c-bd0e-6107a52ed5d1,ev-a253e9c5-0448-531c-bd0e-6107a52ed5d1,"Solides Anlageobjekt mit Entwicklungspotenzial",,,"Stuttgart","Baden-Württemberg",,,2900000,,1081,,2026-06-28,"E&V Kapitalanlage/investment listing"
apartment_building,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/55eefca3-84f9-5900-aab0-003257872887,ev-55eefca3-84f9-5900-aab0-003257872887,"Sicheres Investment – Gepflegtes 4-Parteienhaus in Schwerte-Westhofen",,,"Schwerte","Nordrhein-Westfalen",,,430000,,257,,2026-06-28,"E&V Kapitalanlage/investment listing"
apartment_building,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/2b38bd97-36db-50db-8660-2b5094077e17,ev-2b38bd97-36db-50db-8660-2b5094077e17,"Denkmalgeschütztes Sanierungsobjekt",,,"Chemnitz","Sachsen",,,260000,,511,,2026-06-28,"E&V Kapitalanlage/investment listing"
apartment_building,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/f5e4110d-8f67-5824-8f4e-091932a9700c,ev-f5e4110d-8f67-5824-8f4e-091932a9700c,"Sanierungsobjekt",,,"Chemnitz","Sachsen",,,395000,,797,,2026-06-28,"E&V Kapitalanlage/investment listing"
apartment_building,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/99f4f030-717d-5e68-916f-573d54c74cba,ev-99f4f030-717d-5e68-916f-573d54c74cba,"Mehrfamilienhaus",,,"Duisburg","Nordrhein-Westfalen",,,605000,,540,,2026-06-28,"E&V Kapitalanlage/investment listing"
mixed_use,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/cd80b4e0-e8c3-5e11-99d5-0c304624ce70,ev-cd80b4e0-e8c3-5e11-99d5-0c304624ce70,"Wohn- und Geschäftshaus",,,"Essen","Nordrhein-Westfalen",,,705000,,357,,2026-06-28,"E&V Kapitalanlage/investment listing"
apartment_building,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/df0d353e-8d4e-598e-a3ac-f15bf8f5d5c0,ev-df0d353e-8d4e-598e-a3ac-f15bf8f5d5c0,"Stuck, Stil und Sonnenstrom im Zentrum Wiesbadens",,,"Wiesbaden","Hessen",,,1750000,,619,,2026-06-28,"E&V Kapitalanlage/investment listing"
mixed_use,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/b2e4eb26-4b19-50aa-af46-2697a4f9a330,ev-b2e4eb26-4b19-50aa-af46-2697a4f9a330,"Gepflegtes WGH-Ensemble in der Fußgängerzone mit Stellplätzen und groß",,,"Ilmenau","Thüringen",,,930000,,353,,2026-06-28,"E&V Kapitalanlage/investment listing"
apartment_building,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/834bd284-b9f0-561b-bc69-92f28ff7e91e,ev-834bd284-b9f0-561b-bc69-92f28ff7e91e,"Historisches Ensemble mit Nutzungsvielfalt im Herzen des Stadtkerns",,,"Isny im Allgäu","Baden-Württemberg",,,1185000,,210,,2026-06-28,"E&V Kapitalanlage/investment listing"
mixed_use,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/77e23040-c5c5-5bac-ad7b-9ad68953f0be,ev-77e23040-c5c5-5bac-ad7b-9ad68953f0be,"Wohnen und Arbeiten in bester Lage von Hannover",,,"Hannover","Niedersachsen",,,,,644,,2026-06-28,"E&V Kapitalanlage/investment listing"
apartment_building,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/7be004ea-198f-5ec3-9b76-de7cf77e7029,ev-7be004ea-198f-5ec3-9b76-de7cf77e7029,"Mehrfamilienhaus in äußerst gefragter Lage",,,"Wiesbaden","Hessen",,,2150000,,672,,2026-06-28,"E&V Kapitalanlage/investment listing"
apartment_building,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/d1502481-eb06-5497-91de-06ef63afe6db,ev-d1502481-eb06-5497-91de-06ef63afe6db,"Voll vermietetes Mehrfamilienhaus nahe Petersburger Platz mit Energiek",,,"Berlin","Berlin",,,2375000,,900,,2026-06-28,"E&V Kapitalanlage/investment listing"
other,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/c8a716f6-6926-5718-b67e-3ba57751091b,ev-c8a716f6-6926-5718-b67e-3ba57751091b,"Wohn- & Medizinerhaus in Top-Lage von Bochum Ehrenfeld",,,"Bochum","Nordrhein-Westfalen",,,1095000,,210,,2026-06-28,"E&V Kapitalanlage/investment listing"
apartment_building,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/640b317a-f3e5-562f-b1dc-14eee5fdc9ae,ev-640b317a-f3e5-562f-b1dc-14eee5fdc9ae,"Nur 800 Meter zur Hochschule",,,"Worms","Rheinland-Pfalz",,,470000,,212,,2026-06-28,"E&V Kapitalanlage/investment listing"
apartment_building,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/8a29bc39-3fba-56fe-83bf-28aa8d04d890,ev-8a29bc39-3fba-56fe-83bf-28aa8d04d890,"Gepflegtes Mehrfamilienhaus im Belgischen Viertel",,,"Berlin","Berlin",,,3000000,,1787,,2026-06-28,"E&V Kapitalanlage/investment listing"
mixed_use,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/888d78f0-e5b5-5653-8afe-bcfaeb3849ab,ev-888d78f0-e5b5-5653-8afe-bcfaeb3849ab,"Gepflegtes Wohn- und Geschäftshaus in nachgefragter Lage am Markt von ",,,"Bad Gottleuba-Berggießhübel","Sachsen",,,650000,,346,,2026-06-28,"E&V Kapitalanlage/investment listing"
mixed_use,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/6f013ff7-da36-5ad3-a539-eded8e03f208,ev-6f013ff7-da36-5ad3-a539-eded8e03f208,"Wohn- und Geschäftshaus im Gesundbrunnen",,,"Berlin","Berlin",,,4100000,,1778,,2026-06-28,"E&V Kapitalanlage/investment listing"
apartment_building,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/a6aaada0-fbd5-5fa5-a716-4f59043d986b,ev-a6aaada0-fbd5-5fa5-a716-4f59043d986b,"Sanierungsbedürftiges 6-Parteienhaus im Kreuzviertel!",,,"Dortmund","Nordrhein-Westfalen",,,515000,,312,,2026-06-28,"E&V Kapitalanlage/investment listing"
apartment_building,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/f2ead89b-6a9a-5639-b0a8-f55ff38944a0,ev-f2ead89b-6a9a-5639-b0a8-f55ff38944a0,"Ein Grundstück, zwei Adressen - Zentral gelegenes Anlageobjekt",,,"Bad Kreuznach","Rheinland-Pfalz",,,1365000,,738,,2026-06-28,"E&V Kapitalanlage/investment listing"
apartment_building,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/c949e53b-8130-568c-8b61-f002a1c45276,ev-c949e53b-8130-568c-8b61-f002a1c45276,"Mehrfamilienhaus im Pantaleonsviertel",,,"Köln","Nordrhein-Westfalen",,,720000,,190,,2026-06-28,"E&V Kapitalanlage/investment listing"
mixed_use,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/998638d9-0d41-5cfd-bfc5-baff1d9bf953,ev-998638d9-0d41-5cfd-bfc5-baff1d9bf953,"Klassisches Wohn- und Geschäftshaus im beliebten Stephankiez in Berlin",,,"Berlin","Berlin",,,6000000,,2442,,2026-06-28,"E&V Kapitalanlage/investment listing"
mixed_use,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/b613c51b-b057-5c58-ab51-acac660341f5,ev-b613c51b-b057-5c58-ab51-acac660341f5,"Gepflegtes Wohn- und Geschäftshaus mit Leerstand und Dachausbaupotenzi",,,"Berlin","Berlin",,,4200000,,892,,2026-06-28,"E&V Kapitalanlage/investment listing"
mixed_use,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/9e80e1c2-2cb8-5f26-9da9-4e66fbe65b9b,ev-9e80e1c2-2cb8-5f26-9da9-4e66fbe65b9b,"Wohn- und Geschäftshaus im Komponistenviertel",,,"Köln","Nordrhein-Westfalen",,,1750000,,370,,2026-06-28,"E&V Kapitalanlage/investment listing"
mixed_use,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/b7c7ff17-7455-5e8c-a008-07141c36f639,ev-b7c7ff17-7455-5e8c-a008-07141c36f639,"Gepflegtes Wohn- und Geschäftshaus in Tempelhof",,,"Berlin","Berlin",,,2100000,,762,,2026-06-28,"E&V Kapitalanlage/investment listing"
apartment_building,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/a179ec56-9031-5200-bb7c-a4141ddd1368,ev-a179ec56-9031-5200-bb7c-a4141ddd1368,"Bis zu 35 % Zuschuss & Steuern sparen - Investment am Pferdemarkt",,,"","",,,835000,,458,,2026-06-28,"E&V Kapitalanlage/investment listing"
