asset_type,deal,source,source_url,listing_id,name,district,plz,city,state,rent_eur_m2_min,rent_eur_m2_max,price_eur,area_min_m2,area_max_m2,rooms,captured,notes
office,lease,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/aa536bf4-3010-5363-91ed-11709a068302,ev-aa536bf4-3010-5363-91ed-11709a068302,"Top ausgestattete Bürofläche mit Glasfaser & Sonnenschutz",,,"Berlin","Berlin",14,14,,,139,,2026-06-29,"E&V Miete office"
office,lease,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/58708414-d325-5d3d-b64d-780e46af120f,ev-58708414-d325-5d3d-b64d-780e46af120f,"Attraktives Büro im sanierten Altbau mit Aufzug & Stellplätzen",,,"Berlin","Berlin",14,14,,,308,,2026-06-29,"E&V Miete office"
office,lease,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/2a17226c-4398-51bb-88fb-5d96a04fffbd,ev-2a17226c-4398-51bb-88fb-5d96a04fffbd,"Moderne Arbeitswelten im historischen Bürokomplex",,,"Berlin","Berlin",14,14,,,331,,2026-06-29,"E&V Miete office"
office,lease,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/8411838a-62f3-52d7-998f-e1c9cc59f176,ev-8411838a-62f3-52d7-998f-e1c9cc59f176,"Repräsentative Bürofläche mit Charakter in Top-Lage",,,"Berlin","Berlin",14,14,,,310,,2026-06-29,"E&V Miete office"
office,lease,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/e56ce79e-d781-5e10-8654-c7e5edeb86f2,ev-e56ce79e-d781-5e10-8654-c7e5edeb86f2,"Charmante Loftbüros nahe Frankfurter Allee",,,"Berlin","Berlin",14,14,,,1088,,2026-06-29,"E&V Miete office"
office,lease,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/23ef4844-582c-5c11-a5ad-7a68ac2662c5,ev-23ef4844-582c-5c11-a5ad-7a68ac2662c5,"Sie suchen ein Büro mit Terrasse in Charlottenburg?",,,"Berlin","Berlin",23,23,,,401,,2026-06-29,"E&V Miete office"
office,lease,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/57cfbdbf-7c50-5959-af33-5dfad82c575f,ev-57cfbdbf-7c50-5959-af33-5dfad82c575f,"Grünberger Höfe: Loftbüros im Simon-Dach-Kiez",,,"Berlin","Berlin",25,25,,,753,,2026-06-29,"E&V Miete office"
office,lease,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/89db2f19-0548-5d69-8b46-80773f486cde,ev-89db2f19-0548-5d69-8b46-80773f486cde,"Sie suchen eine Erdgeschossfläche in Friedrichshain",,,"Berlin","Berlin",25,25,,,332,,2026-06-29,"E&V Miete office"
office,lease,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/e481827a-934a-5f7f-9a60-eba6076ee37f,ev-e481827a-934a-5f7f-9a60-eba6076ee37f,"Ihr neuer Office-Standort am Hohenzollerndamm",,,"Berlin","Berlin",19.5,19.5,,,229,,2026-06-29,"E&V Miete office"
office,lease,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/6f40ba3c-2f20-5581-92d4-5e0c7d1ee6fa,ev-6f40ba3c-2f20-5581-92d4-5e0c7d1ee6fa,"Kreative Büroflächen",,,"Berlin","Berlin",20,20,,,539,,2026-06-29,"E&V Miete office"
