source,source_url,id,name,kind,deal,price_basis,district,plz,city,state,rent_eur_m2_min,rent_eur_m2_max,area_min_m2,area_max_m2,notes
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D0449,"Office property — Düsseldorf, Lichtenbroich (D0449)",office,lease,LISTED,Lichtenbroich,40468,Düsseldorf,Nordrhein-Westfalen,12.5,12.5,423,1725,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D0178,"Office property — Düsseldorf, Lörick (D0178)",office,lease,LISTED,Lörick,40547,Düsseldorf,Nordrhein-Westfalen,14,14.5,535,4292,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D0837,"Office property — Düsseldorf, Lörick (D0837)",office,lease,LISTED,Lörick,40549,Düsseldorf,Nordrhein-Westfalen,12,12,310,4093,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D1120,"Office property — Düsseldorf, Oberbilk (D1120)",office,lease,LISTED,Oberbilk,40227,Düsseldorf,Nordrhein-Westfalen,13.5,13.5,446,4421,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D3252,"Office property — Düsseldorf, Lierenfeld (D3252)",office,lease,LISTED,Lierenfeld,40231,Düsseldorf,Nordrhein-Westfalen,13.5,13.5,312,1741,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D0646,"Office property — Düsseldorf, City center (D0646)",office,lease,LISTED,City center,40210,Düsseldorf,Nordrhein-Westfalen,12,13,435,5285,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D0865,"Office property — Düsseldorf, Derendorf (D0865)",office,lease,LISTED,Derendorf,40476,Düsseldorf,Nordrhein-Westfalen,12,12,1070,1070,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D0669,"Office property — Düsseldorf, Rath (D0669)",office,lease,LISTED,Rath,40472,Düsseldorf,Nordrhein-Westfalen,12.5,12.5,794,1588,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D1474,"Office property — Düsseldorf, Bilk (D1474)",office,lease,LISTED,Bilk,40223,Düsseldorf,Nordrhein-Westfalen,15,15,1062,1062,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
JLL,https://gewerbeimmobilien.jll.de/search?tenureTypes=rent&propertyTypes=office&cities=D%C3%BCsseldorf&regions=Nordrhein-Westfalen&priceMax=15&surfaceMax=6000&surfaceMin=1000&surfaceUnit=meters,jll-D0487,"Office property — Düsseldorf, Heerdt (D0487)",office,lease,LISTED,Heerdt,40549,Düsseldorf,Nordrhein-Westfalen,10.5,12.5,216,10277,JLL gewerbeimmobilien; office for rent; rent = €/m²·mo (cold); area = available-unit range
