asset_type,deal,source,source_url,listing_id,name,district,plz,city,state,rent_eur_m2_min,rent_eur_m2_max,price_eur,area_min_m2,area_max_m2,rooms,captured,notes
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/82248/,ohm-82248,"absolute Zentrumslage von Weißwasser",,,"",,,,850000,,948,,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); plot 1.130 m²"
mixed_use,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/201888/,ohm-201888,"6,55 % Brutto-Rendite, Energieeffizientes Wohn- und Geschäftshaus",,14513,"Teltow",,,,2150000,,220,,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); plot 1.588 m²"
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/234736/,ohm-234736,"Mehrfamilienhaus in Berlin provisionsfrei zu verkaufen",,,"Berlin",,,,1595000,,434,,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); plot 853 m²"
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/239581/,ohm-239581,"MFH Bielefeld a.d.Landwehr mit 30 Wohnungen, Mietrendite ca. 5%",,33609,"Bielefeld",,,,4200000,,2459,30,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); plot 3.700 m²; 30 units"
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/244948/,ohm-244948,"historisches Fabrikensemble (6.000 qm/160 Räume) im Peenehafen",,17139,"Malchin",,,,295000,,6000,,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO)"
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/268844/,ohm-268844,"Von privat: MFH mit Mietsteigerungs- & Aufteilungspotenzial S-Bahn-Nähe",,16540,"Hohen Neuendorf",,,,1495000,,501,,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); plot 739 m²"
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/291573/,ohm-291573,"Wohnportfolio bei Köln 4,90 Mio | 5,1 % Bruttorendite",,,"",,,,4900000,,2250,,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); plot 35.236 m²"
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/326269/,ohm-326269,"MFH Ratingen Mitte, 14 Wohnungen 790 qm Wfl., 6 Garagen",,40878,"Ratingen",,,,2080000,,790,14,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); plot 796 m²; 14 units"
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/329472/,ohm-329472,"Top saniertes Haus mit hervorragender Rendite und drei Mieteinheiten",,,"",,,,1499000,,106,,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); plot 413 m²"
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/357175/,ohm-357175,"8-Familienhaus mit solider Rendite",,21709,"Himmelpforten",,,,1220000,,414,8,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); plot 986 m²; 8 units"
mixed_use,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/360224/,ohm-360224,"Historisch bedeutsames Anwesen - flexibel nutzbar (Preis auf Anfrage)",,,"",,,,,,143,,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); price on request; plot 710 m²"
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/361330/,ohm-361330,"Neubau - Wohnanlage im Berliner Umland",,,"",,,,9000000,,2224,,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); plot 4.723 m²"
mixed_use,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/365707/,ohm-365707,"Wohn-/Geschäftshaus mit Restaurant zu verkaufen/verpachten",,,"",,,,1150000,,239,,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); plot 1.038 m²"
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/368342/,ohm-368342,"Solide vermietete Büroeinheit, Indexmiete & Klimatisierung",,,"",,,,479000,,2254,,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO)"
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/372774/,ohm-372774,"Hannover-Misburg 2 MFH - 11 Wohneinheiten ca. 660 Wfl.",,,"Hannover",,,,1095000,,660,11,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); plot 1.250 m²; 11 units"
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/373911/,ohm-373911,"Mehrfamilienhaus in Kochel City",,,"Kochel",,,,2700000,,65,,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); plot 640 m²"
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/379316/,ohm-379316,"Verkauf - MFH - Voll möbliert",,,"",,,,290000,,157,,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); plot 304 m²"
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/384852/,ohm-384852,"Sanierungsobjekt mit attraktiven Fördermöglichkeiten",,54424,"Thalfang",,,,195000,,640,,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); plot 953 m²"
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/385972/,ohm-385972,"7-Familienhaus in Kippenheim – komplett renoviert",,77971,"Kippenheim",,,,1390000,,488,7,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); plot 1.307 m²; 7 units"
mixed_use,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/391956/,ohm-391956,"Vielseitig nutzbares Gewerbeobjekt – gepflegtes freistehendes Haus",,,"",,,,249000,,403,,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO)"
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/395195/,ohm-395195,"Von Privat Courtagefrei 7-Familienhaus im Reihenhausstil",,24536,"Neumünster",,,,700000,,384,7,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); plot 1.269 m²; 7 units"
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/401955/,ohm-401955,"1A Lage Wiesbaden - Renditeimmobilien - PROVISIONSFREI",,,"Wiesbaden",,,,2500000,,,,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO)"
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/402212/,ohm-402212,"Wohnungspaket: 6 vermietete Eigentumswohnungen in ruhiger Lage",,,"",,,,1485000,,34,,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO)"
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/402956/,ohm-402956,"Renditeobjekt: Lebensmitteleinzelhandel in Berg am Laim (München)",,,"München",,,,2500000,,,,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO)"
mixed_use,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/410470/,ohm-410470,"Mehrfamilienhaus mit Gewerbe in Bochumer 1a Innenstadtlage",,44791,"Bochum",,,,3690000,,1313,,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO)"
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/412476/,ohm-412476,"Renditeobjekt im Zentrum, saniert und vermietet mit 3 Einheiten",,,"",,,,378000,,,3,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); 3 units"
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/414609/,ohm-414609,"Energetisch saniertes Haus",,,"",,,,960000,,515,,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); plot 550 m²"
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/419262/,ohm-419262,"Investmentobjekt in Nürnberg zu Verkaufen",,,"Nürnberg",,,,2298000,,90,,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); plot 402 m²"
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/419492/,ohm-419492,"Renditeobjekt Mehrparteienhaus mit 5 Parteien inkl. Tiefgarage",,,"",,,,3299999,,,5,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); 5 units"
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/422080/,ohm-422080,"Umfassend saniertes MFH, Energieeff-Kl. A",,,"",,,,5100000,,1485,,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO)"
mixed_use,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/425241/,ohm-425241,"Teilvermietetes Wohn- und Gewerbeobjekt",,63571,"Gelnhausen",,,,1150000,,5629,,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO)"
mixed_use,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/426612/,ohm-426612,"Von Privat - Modern energetisch Wohn-/Geschäftshaus",,24837,"Schleswig",,,,598000,,265,,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); plot 126 m²"
mixed_use,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/434084/,ohm-434084,"Wohn- und Geschäftshaus - Anlageobjekt mit Potential",,65197,"Wiesbaden",,,,3950000,,160,,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); plot 467 m²"
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/437897/,ohm-437897,"Rarität am Lister Platz: Sanierte Substanz, Eilenriedeblick",,,"",,,,2300000,,130,,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); plot 16 m²"
mixed_use,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/439209/,ohm-439209,"Saniertes Wohn- und Geschäftshaus im Herzen von Halver",,,"Halver",,,,499000,,25,,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); plot 154 m²"
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/440282/,ohm-440282,"Voll vermieteter Wohnbestand mit 26 WE in Rinteln",,,"Rinteln",,,,2580000,,36,26,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); plot 1.835 m²; 26 units"
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/442254/,ohm-442254,"Gepflegtes MFH in Wiesbaden, Bergkirchenviertel",,65183,"Wiesbaden",,,,3250000,,851,,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); plot 674 m²"
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/442542/,ohm-442542,"Kapitalanlage in Günzburg! MFH, 9 Whg. 552 qm Wfl.",,89312,"Günzburg",,,,1700000,,552,9,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); plot 1.120 m²; 9 units"
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/443066/,ohm-443066,"Top Kapitalanlage: Vermietete Zahnarztpraxis mit 8 Stellplätzen",,,"",,,,399000,,,,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO)"
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/443807/,ohm-443807,"Student Living + staatl. Mieter | 100 Zi. mit Baugenehmigung",,,"",,,,3890000,,1929,100,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); plot 4.513 m²; 100 rooms"
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/444451/,ohm-444451,"Renditestarkes gepflegtes MFH in guter Lage – vollvermietet",,,"",,,,829000,,627,,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); plot 455 m²"
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/444636/,ohm-444636,"Solide Kapitalanlage mit 5,6 % Rendite. Provisionsfrei",,53557,"Bad Hönningen",,,,1120000,,537,,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); plot 428 m²"
mixed_use,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/445531/,ohm-445531,"Wohn-und Geschäftshaus mit PV-Anlage in Papenburg",,26871,"Papenburg",,,,420000,,356,,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); plot 795 m²"
mixed_use,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/446522/,ohm-446522,"Wohn- und Geschäftshaus",,,"",,,,2195000,,428,,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); plot 130 m²"
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/447392/,ohm-447392,"Repräsentatives renoviertes MFH mit Büroeinheit",,,"",,,,756000,,270,,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); plot 235 m²"
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/447853/,ohm-447853,"EFH-Renditeobjekt 10% Nettorendite nahe BMW",,84130,"Dingolfing",,,,460000,,120,,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); plot 181 m²"
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/450818/,ohm-450818,"Zinshäuser mit guter Rendite",,,"",,,,1300000,,810,,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); plot 2.320 m²"
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/451423/,ohm-451423,"Paket-Angebot: Zwei Studentenwohnheime in Karlsruhe",,,"Karlsruhe",,,,4500000,,688,,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); plot 505 m²"
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/451704/,ohm-451704,"MFH (9 Eigentumswohnungen) | Burgpanorama",,75378,"Bad Liebenzell",,,,900000,,653,9,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); plot 1.470 m²; 9 units"
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/452157/,ohm-452157,"Modernisiertes MFH | 6,25 % Rendite | vollvermietet",,56203,"Höhr-Grenzhausen",,,,549000,,370,,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); plot 367 m²"
mixed_use,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/452554/,ohm-452554,"Mehrfamilien- u. Geschäftshaus im Zentrum von Dülmen",,48249,"Dülmen",,,,1195000,,410,,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); plot 325 m²"
apartment_building,sale,ohne-makler.net,https://www.ohne-makler.net/immobilie/453889/,ohm-453889,"Solides Zinshaus in Hamburg-Harburg mit 9 Einheiten",,,"Hamburg",,,,1195000,,89,9,2026-06-29,"ohne-makler.net (provisionsfrei/FSBO); plot 472 m²; 9 units"
