asset_type,deal,source,source_url,listing_id,name,district,plz,city,state,rent_eur_m2_min,rent_eur_m2_max,price_eur,area_min_m2,area_max_m2,rooms,captured,notes
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/37876/,ohm-37876,"Büro-/Praxisräume, 90 m2, direkt am Bahnhof Otterfing",,83624,Otterfing,,,,,,,,2026-07-02,rent ~840 EUR/mo
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/75893/,ohm-75893,"Loftbüro mit viel Licht in Neukölln,Hohe Decken, Lastenaufzug vorhande",,,,,,,,,,,2026-07-02,rent ~1.314 EUR/mo
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/93610/,ohm-93610,"Top Büroflächen mit vielen Möglichkeiten, EUR 15,- bis 17,- pro qm war",,72202,Nagold,,,,,,,,2026-07-02,rent ~12 EUR/mo
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/101108/,ohm-101108,"Büro- u. Praxisflächen im TaT Themenpark, repräsentativ, m",,48432,Rheine,,,,,,,,2026-07-02,
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/128926/,ohm-128926,Repräsentative & flexible Bürofläche in Moordorf – Ideal für Synergien,,,,,,,,,,,2026-07-02,rent ~2.064 EUR/mo
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/130684/,ohm-130684,Büro - Praxis - Kanzlei - Lager - barrierefrei - Größen vo,,,,,,,,,16,,2026-07-02,
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/147976/,ohm-147976,gewerbliche Mietfläche zentrale Innenstadtlage,,,,,,,,,,,2026-07-02,rent ~1.800 EUR/mo
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/168584/,ohm-168584,"Moderne Büros ab 297,- Euro inkl. aller Nebenkosten",,,,,,,,,,,2026-07-02,
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/172664/,ohm-172664,"1000 qm Büro - Praxis - Kanzlei - barrierefrei auf einer Ebene, renovi",,,,,,,,,,,2026-07-02,rent ~3.000 EUR/mo
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/177105/,ohm-177105,"Full-Service-Büroplatz, frisch renoviert + möbliert",,15806,Zossen,,,,,,,,2026-07-02,rent ~250 EUR/mo
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/185933/,ohm-185933,PROVISIONSFREI | Office Center | VIELSEITIG NUTZBAR | MODE,,63755,Alzenau,,,,,,,,2026-07-02,
